task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
OB-165290985969779.csv,1,0,left,,0,0,0,0,0,0,0,0,76.9358013000001,77.43579620000037,left,1,1.2871229000002131,76.9358013000001,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,3,0,left,,0,0,0,0,0,1,1,1,80.4358342000005,80.93584190000001,left,1,0.6670912999998109,80.4358342000005,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,5,0,left,,0,0,0,0,0,2,2,2,83.9358884000003,84.43587860000025,left,1,0.4950453999999809,83.9358884000003,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,0,0,left,,0,0,0,0,0,3,3,3,87.4359256000007,87.9359316,left,1,0.5149298000005729,87.4359256000007,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,3,0,left,,0,0,0,0,0,4,4,4,90.93597750000026,91.43597190000037,left,1,0.39099260000057257,90.93597750000026,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,3,1,right,,0,0,0,0,0,5,5,5,94.43602270000065,94.93601390000003,right,1,0.3628614999997808,94.43602270000065,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,9,0,left,,0,0,0,0,0,6,6,6,97.93605650000063,98.43606610000006,left,1,0.38315330000023096,97.93605650000063,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,9,1,right,,0,0,0,0,0,7,7,7,101.43610970000009,101.93610549999994,right,1,0.8029910999994172,101.43610970000009,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,8,0,left,,0,0,0,0,0,8,8,8,104.93615180000052,105.43615100000079,left,1,0.6948456000000078,104.93615180000052,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,2,0,left,,0,0,0,0,0,9,9,9,108.43619330000001,108.93616810000003,left,1,0.47477429999980814,108.43619330000001,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,2,1,right,,0,0,0,0,0,10,10,10,111.93624550000004,112.43623160000061,left,0,0.4145896999998513,111.93624550000004,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,2,1,right,,0,0,0,0,0,11,11,11,115.43629300000066,115.9363084000006,right,1,0.7868652999995902,115.43629300000066,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,2,1,right,,0,0,0,0,0,12,12,12,118.93633730000056,119.43635320000067,right,1,0.45455760000004375,118.93633730000056,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,1,0,left,,0,0,0,0,0,13,13,13,122.43639840000014,122.9363800000001,left,1,0.4104594000000361,122.43639840000014,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,9,0,left,,0,0,0,0,0,14,14,14,125.93641810000008,126.43643450000036,left,1,0.47841410000000906,125.93641810000008,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,5,0,left,,0,0,0,0,0,15,15,15,129.43646210000043,129.93646650000028,left,1,0.5463590999997905,129.43646210000043,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,5,1,right,,0,0,0,0,0,16,16,16,132.93652160000056,133.4365243000002,right,1,0.630364699999518,132.93652160000056,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,6,0,left,,0,0,0,0,0,17,17,17,136.4365738000006,136.93658080000023,left,1,0.4423925999999483,136.4365738000006,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,6,1,right,,0,0,0,0,0,18,18,18,139.9366142000008,140.43661730000076,right,1,0.5102113000002646,139.9366142000008,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,6,1,right,,0,0,0,0,0,19,19,19,143.43663240000024,143.9366572000008,right,1,0.5461331999995309,143.43663240000024,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-165290985969779.csv,,,,,0,0,0,0,,,,,,,,,,,,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,2,0,left,8,0,1,1,1,0,0,0,0,155.75352720000046,156.25349790000018,left,1,0.613302300000214,155.75352720000046,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,6,0,left,8,0,1,1,1,0,1,1,1,159.25355220000074,159.75353040000027,left,1,0.3771919999999227,159.25355220000074,159.25355220000074,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,9,0,left,8,0,1,1,1,0,2,2,2,162.75357620000068,163.25358310000047,left,1,0.3652692000005118,162.75357620000068,162.75357620000068,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,3,3,3,166.25362300000052,166.75363460000062,right,1,0.369173399999454,166.25362300000052,166.25362300000052,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,1,0,left,8,0,1,1,1,0,4,4,4,169.7536667000004,170.25366790000044,left,1,0.5490672999994786,169.7536667000004,169.7536667000004,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,3,0,left,8,0,1,1,1,0,5,5,5,173.25369600000067,173.75372810000044,left,1,0.45719129999997676,173.25369600000067,173.25369600000067,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,6,6,6,176.75375610000083,177.25378210000054,right,1,0.47707530000025145,176.75375610000083,176.75375610000083,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,7,0,left,8,0,1,1,1,0,7,7,7,180.25381470000048,180.75378530000035,left,1,0.4971810999995796,180.25381470000048,180.25381470000048,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,0,0,left,8,0,1,1,1,0,8,8,8,183.75384420000046,184.25384890000078,left,1,0.4850281000008181,183.75384420000046,183.75384420000046,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,3,0,left,8,0,1,1,1,0,9,9,9,187.25389190000078,187.75390680000055,left,1,0.617011100000127,187.25389190000078,187.25389190000078,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,0,0,left,8,0,1,1,1,0,10,10,10,190.75393990000066,191.25394040000083,left,1,0.4128275000002759,190.75393990000066,190.75393990000066,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,11,11,11,194.25401409999995,194.7539925000001,right,1,0.48064630000044417,194.25401409999995,194.25401409999995,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,12,12,12,197.7540450000006,198.25402780000059,right,1,0.5168120999996972,197.7540450000006,197.7540450000006,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,13,13,13,201.25411190000068,201.7540641000005,right,1,0.3925257999999303,201.25411190000068,201.25411190000068,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,14,14,14,204.7541336000004,205.25413019999996,right,1,0.3805038999998942,204.7541336000004,204.7541336000004,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,15,15,15,208.25417240000024,208.7541723000004,right,1,0.33672459999979765,208.25417240000024,208.25417240000024,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,7,0,left,8,0,1,1,1,0,16,16,16,211.75422340000023,212.2542826000008,left,1,0.4525413999999728,211.75422340000023,211.75422340000023,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,2,0,left,8,0,1,1,1,0,17,17,17,215.2542540000004,215.7542925000007,left,1,0.40839490000053047,215.2542540000004,215.2542540000004,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,2,0,left,8,0,1,1,1,0,18,18,18,218.7543067000006,219.25432760000058,left,1,0.428306299999349,218.7543067000006,218.7543067000006,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,8,1,right,8,0,1,1,1,0,19,19,19,222.25435560000005,222.75436630000058,right,1,0.41622800000004645,222.25435560000005,222.25435560000005,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_8-16529098592842987.csv,,,,,0,1,1,1,,,,,,,,,,,,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,0,0,left,9,0,2,2,2,0,0,0,0,231.68786870000076,232.1878215000006,left,1,0.5669239999997444,231.68786870000076,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,4,0,left,9,0,2,2,2,0,1,1,1,235.18783280000025,235.68786739999996,left,1,0.49074709999968036,235.18783280000025,235.18783280000025,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,2,2,2,238.68789210000068,239.18791540000075,right,1,0.4786584000003131,238.68789210000068,238.68789210000068,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,5,0,left,9,0,2,2,2,0,3,3,3,242.18794160000016,242.68795780000073,left,1,0.5305914000000485,242.18794160000016,242.18794160000016,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,4,4,4,245.68799050000052,246.18800680000004,right,1,0.40662590000010823,245.68799050000052,245.68799050000052,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,3,0,left,9,0,2,2,2,0,5,5,5,249.1880280000005,249.68803890000072,left,1,0.47449979999964853,249.1880280000005,249.1880280000005,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,7,0,left,9,0,2,2,2,0,6,6,6,252.6880916,253.1880959,left,1,0.5744498999993084,252.6880916,252.6880916,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,7,7,7,256.18814509999993,256.6881379000006,right,1,0.7063797000000704,256.18814509999993,256.18814509999993,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,8,8,8,259.6881953000002,260.18819840000015,right,1,0.518380900000011,259.6881953000002,259.6881953000002,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,5,0,left,9,0,2,2,2,0,9,9,9,263.18821240000034,263.68824420000055,left,1,0.41036669999994047,263.18821240000034,263.18821240000034,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,10,10,10,266.6882762000005,267.1882899000002,right,1,0.4142314000000624,266.6882762000005,266.6882762000005,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,4,0,left,9,0,2,2,2,0,11,11,11,270.1883095000003,270.6883305000001,left,1,0.35444709999956103,270.1883095000003,270.1883095000003,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,5,0,left,9,0,2,2,2,0,12,12,12,273.6883574000003,274.18837580000036,left,1,0.40614040000036766,273.6883574000003,273.6883574000003,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,13,13,13,277.18840480000017,277.6884101000005,right,1,0.4420742000002065,277.18840480000017,277.18840480000017,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,14,14,14,280.6884478000002,281.1884138000005,right,1,0.3659754000000248,280.6884478000002,280.6884478000002,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,1,0,left,9,0,2,2,2,0,15,15,15,284.1884656000002,284.68850180000027,left,1,0.43411469999955443,284.1884656000002,284.1884656000002,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,9,1,right,9,0,2,2,2,0,16,16,16,287.68854550000015,288.1885514000005,right,1,0.486067699999694,287.68854550000015,287.68854550000015,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,6,0,left,9,0,2,2,2,0,17,17,17,291.18856080000023,291.6885985000008,right,0,0.4579088000000411,291.18856080000023,291.18856080000023,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,3,0,left,9,0,2,2,2,0,18,18,18,294.68863130000045,295.1886215000004,right,0,0.4938781000000745,294.68863130000045,294.68863130000045,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,5,0,left,9,0,2,2,2,0,19,19,19,298.18865110000024,298.68869470000027,left,1,0.4339611999994304,298.18865110000024,298.18865110000024,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_9-16529098592180767.csv,,,,,0,2,2,2,,,,,,,,,,,,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,1,0,left,,0,3,3,3,0,0,0,0,307.3555387000006,307.85551250000026,None,0,,307.3555387000006,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,7,0,left,,0,3,3,3,0,1,1,1,310.8555034000001,311.35553530000016,left,1,0.4708491999999751,310.8555034000001,310.8555034000001,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,4,0,left,,0,3,3,3,0,2,2,2,314.35557790000075,314.8555699000008,left,1,0.41071950000059587,314.35557790000075,314.35557790000075,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,4,1,right,,0,3,3,3,0,3,3,3,317.8556023000001,318.3556094000005,right,1,0.7987870999995721,317.8556023000001,317.8556023000001,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,4,1,right,,0,3,3,3,0,4,4,4,321.35561469999993,321.85566199999994,right,1,0.43490419999943697,321.35561469999993,321.35561469999993,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,3,0,left,,0,3,3,3,0,5,5,5,324.85570350000035,325.35570520000056,left,1,0.8867695999997522,324.85570350000035,324.85570350000035,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,5,0,left,,0,3,3,3,0,6,6,6,328.3557492,328.8557649000004,left,1,0.5065813999999591,328.3557492,328.3557492,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,1,0,left,,0,3,3,3,0,7,7,7,331.8557780000001,332.3557886000008,left,1,0.558558599999742,331.8557780000001,331.8557780000001,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,1,1,right,,0,3,3,3,0,8,8,8,335.35584590000053,335.85584890000064,left,0,0.4825279999995473,335.35584590000053,335.35584590000053,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,1,1,right,,0,3,3,3,0,9,9,9,338.85589190000064,339.3558913000006,right,1,0.6304480999997395,338.85589190000064,338.85589190000064,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,1,1,right,,0,3,3,3,0,10,10,10,342.35592410000027,342.8559481000002,right,1,0.4903826999998273,342.35592410000027,342.35592410000027,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,9,0,left,,0,3,3,3,0,11,11,11,345.85596540000006,346.3559438000002,left,1,0.4624160999992455,345.85596540000006,345.85596540000006,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,7,0,left,,0,3,3,3,0,12,12,12,349.3560301000007,349.8560305000001,left,1,0.4503439000000071,349.3560301000007,349.3560301000007,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,8,0,left,,0,3,3,3,0,13,13,13,352.8560675000008,353.3560599000002,left,1,0.43825529999958235,352.8560675000008,352.8560675000008,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,8,1,right,,0,3,3,3,0,14,14,14,356.3561124000007,356.85612500000025,right,1,0.426132200000211,356.3561124000007,356.3561124000007,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,0,0,left,,0,3,3,3,0,15,15,15,359.85615620000044,360.3561539000002,left,1,0.47814780000044266,359.85615620000044,359.85615620000044,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,2,0,left,,0,3,3,3,0,16,16,16,363.3562090000005,363.8562137000008,left,1,0.4181626999998116,363.3562090000005,363.3562090000005,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,2,1,right,,0,3,3,3,0,17,17,17,366.85625359999995,367.35625600000003,right,1,0.5659239999995407,366.85625359999995,366.85625359999995,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,2,1,right,,0,3,3,3,0,18,18,18,370.3563021,370.8563010000007,right,1,1.4181701999996221,370.3563021,370.3563021,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,6,0,left,,0,3,3,3,0,19,19,19,373.8563769000002,374.3563529000003,left,1,0.4298770000004879,373.8563769000002,373.8563769000002,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
OB-16529098598729453.csv,,,,,0,3,3,3,,,,,,,,,,,,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,9,0,left,1,0,4,4,4,0,0,0,0,383.7564729000005,384.25647879999997,left,1,0.8177665000002889,383.7564729000005,None,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,3,0,left,1,0,4,4,4,0,1,1,1,387.2565209000004,387.75652530000025,left,1,0.5176924999996118,387.2565209000004,387.2565209000004,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,5,0,left,1,0,4,4,4,0,2,2,2,390.7565732000003,391.2565819000001,left,1,0.42556559999957244,390.7565732000003,390.7565732000003,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,7,0,left,1,0,4,4,4,0,3,3,3,394.2566046000002,394.75661930000024,left,1,0.49346979999972973,394.2566046000002,394.2566046000002,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,1,1,right,1,0,4,4,4,0,4,4,4,397.75664850000067,398.25667560000056,right,1,0.5456042000005255,397.75664850000067,397.75664850000067,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,1,1,right,1,0,4,4,4,0,5,5,5,401.25670700000046,401.75670620000074,left,0,0.5174921000007089,401.25670700000046,401.25670700000046,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,6,0,left,1,0,4,4,4,0,6,6,6,404.7567547000008,405.25674250000066,left,1,0.5214292000000569,404.7567547000008,404.7567547000008,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
ZB-match_1-16529098593413885.csv,2,0,left,1,0,4,4,4,0,7,7,7,408.2568016000005,408.7568052000006,left,1,0.44529229999989184,408.2568016000005,408.2568016000005,01,001,2022_Jun_15_1548,n_back,2021.2.3,59.987786486748504,
